LINK_MODEL_BASED::ORIGINAL::LEFT_KNEE_ANGLE
File	Frame	X 	Y 	Z 
 - 	505	-43.765812	3.054357	5.667981
 - 	506	-42.504383	3.536535	5.812658
 - 	507	-40.767456	3.980879	6.089702
 - 	508	-38.582329	4.355450	6.493593
 - 	509	-35.987507	4.612424	6.958921
 - 	510	-33.041653	4.699994	7.388644
 - 	511	-29.834557	4.582652	7.723566
 - 	512	-26.487843	4.258131	7.995295
 - 	513	-23.141512	3.759436	8.281552
 - 	514	-19.932381	3.141572	8.628757
 - 	515	-16.979921	2.474098	9.038199
 - 	516	-14.389928	1.840614	9.480009
 - 	517	-12.267714	1.326368	9.894755
 - 	518	-10.725294	0.995200	10.206592
 - 	519	-9.874158	0.873612	10.352318
 - 	520	-9.803437	0.952433	10.301715
 - 	521	-10.552940	1.200102	10.057034
 - 	522	-12.096142	1.576801	9.645082
 - 	523	-14.343941	2.045259	9.120100
 - 	524	-17.169054	2.576219	8.568951
 - 	525	-20.443577	3.145943	8.088162
 - 	526	-24.075062	3.731595	7.736977
 - 	527	-28.019655	4.312625	7.514627
 - 	528	-32.265888	4.874967	7.381454
 - 	529	-36.807079	5.412714	7.294334
 - 	530	-41.621769	5.925416	7.227024
 - 	531	-46.668037	6.410452	7.169588
 - 	532	-51.890728	6.856672	7.116348
 - 	533	-57.234081	7.245048	7.057448
 - 	534	-62.647301	7.551007	6.980747
 - 	535	-68.079964	7.744507	6.875593
 - 	536	-73.477600	7.798347	6.729140
 - 	537	-78.784721	7.706152	6.519608
 - 	538	-83.947273	7.486288	6.215257
 - 	539	-88.909225	7.168343	5.777426
 - 	540	-93.610985	6.788556	5.166739
 - 	541	-97.992920	6.391741	4.356490
 - 	542	-101.999115	6.025127	3.357236
 - 	543	-105.578667	5.730586	2.241009
 - 	544	-108.682747	5.532837	1.119515
 - 	545	-111.260101	5.428113	0.082738
 - 	546	-113.257919	5.389894	-0.822980
 - 	547	-114.628578	5.381454	-1.576841
 - 	548	-115.337090	5.359386	-2.178403
 - 	549	-115.364944	5.272215	-2.640303
 - 	550	-114.709831	5.061033	-2.978262
 - 	551	-113.383766	4.665701	-3.220174
 - 	552	-111.414597	4.041651	-3.387837
 - 	553	-108.847404	3.187243	-3.455736
 - 	554	-105.737686	2.161501	-3.366524
 - 	555	-102.139938	1.068384	-3.088868
 - 	556	-98.100372	0.015628	-2.638624
 - 	557	-93.657043	-0.917158	-2.042723
 - 	558	-88.843864	-1.683035	-1.302633
 - 	559	-83.692841	-2.263015	-0.410862
 - 	560	-78.233444	-2.666365	0.616013
 - 	561	-72.489708	-2.925354	1.736760
 - 	562	-66.477974	-3.079463	2.901777
 - 	563	-60.212551	-3.156421	4.065825
 - 	564	-53.721741	-3.159443	5.195297
 - 	565	-47.067371	-3.068885	6.268478
 - 	566	-40.360775	-2.856784	7.268100
 - 	567	-33.768185	-2.508921	8.160075
 - 	568	-27.498360	-2.047250	8.872360
 - 	569	-21.775408	-1.536114	9.308116
 - 	570	-16.809578	-1.062755	9.397742
 - 	571	-12.773784	-0.701326	9.151016
 - 	572	-9.783754	-0.481971	8.662232
 - 	573	-7.879078	-0.383802	8.061109
 - 	574	-7.015927	-0.354799	7.451200
 - 	575	-7.083924	-0.344582	6.882758
 - 	576	-7.936766	-0.326030	6.368982
 - 	577	-9.418597	-0.296202	5.914023
 - 	578	-11.386123	-0.267932	5.519454
 - 	579	-13.730252	-0.258292	5.171891
 - 	580	-16.388012	-0.272702	4.840978
 - 	581	-19.332195	-0.292334	4.501401
 - 	582	-22.540157	-0.276506	4.160796
 - 	583	-25.956896	-0.182741	3.867815
 - 	584	-29.470053	0.005839	3.692331
 - 	585	-32.911804	0.266427	3.689859
 - 	586	-36.091888	0.552307	3.871585
 - 	587	-38.844616	0.829477	4.195105
 - 	588	-41.062191	1.102680	4.577013
 - 	589	-42.698711	1.408732	4.920764
 - 	590	-43.751278	1.784659	5.150810
 - 	591	-44.235126	2.237882	5.243484
 - 	592	-44.166668	2.740626	5.244920
 - 	593	-43.561176	3.248111	5.262881
 - 	594	-42.439835	3.722582	5.422863
 - 	595	-40.834404	4.146644	5.799513
 - 	596	-38.785721	4.518503	6.362073
 - 	597	-36.342136	4.828420	6.981546
 - 	598	-33.563759	5.034808	7.502470
 - 	599	-30.532991	5.070801	7.817239
 - 	600	-27.361135	4.879411	7.899125
 - 	601	-24.177824	4.444602	7.809247
 - 	602	-21.106384	3.800500	7.680539
 - 	603	-18.243546	3.024219	7.659699
 - 	604	-15.660026	2.220335	7.829315
 - 	605	-13.422613	1.495175	8.168131
 - 	606	-11.619324	0.926557	8.573279
 - 	607	-10.365560	0.549512	8.916825
 - 	608	-9.783046	0.364547	9.102457
 - 	609	-9.961895	0.357739	9.098363
 - 	610	-10.928471	0.518934	8.933308
